date,weekday,is_weekend,line,station,hour,boarding,alighting,total
2025-09-01,월,False,2호선,교대,0,223,276,499
2025-09-01,월,False,2호선,교대,1,280,232,512
2025-09-01,월,False,2호선,교대,2,187,245,432
2025-09-01,월,False,2호선,교대,3,239,255,494
2025-09-01,월,False,2호선,교대,4,223,266,489
2025-09-01,월,False,2호선,교대,5,278,238,516
2025-09-01,월,False,2호선,교대,6,273,219,492
2025-09-01,월,False,2호선,교대,7,6911,8211,15122
2025-09-01,월,False,2호선,교대,8,9968,12083,22051
2025-09-01,월,False,2호선,교대,9,9244,9337,18581
2025-09-01,월,False,2호선,교대,10,3162,3626,6788
2025-09-01,월,False,2호선,교대,11,3627,3741,7368
2025-09-01,월,False,2호선,교대,12,3226,3462,6688
2025-09-01,월,False,2호선,교대,13,3670,3413,7083
2025-09-01,월,False,2호선,교대,14,3668,3366,7034
2025-09-01,월,False,2호선,교대,15,3715,4031,7746
2025-09-01,월,False,2호선,교대,16,3055,3598,6653
2025-09-01,월,False,2호선,교대,17,11316,9021,20337
2025-09-01,월,False,2호선,교대,18,11151,13197,24348
2025-09-01,월,False,2호선,교대,19,9927,8715,18642
2025-09-01,월,False,2호선,교대,20,7019,6297,13316
2025-09-01,월,False,2호선,교대,21,3852,3679,7531
2025-09-01,월,False,2호선,교대,22,2522,2415,4937
2025-09-01,월,False,2호선,교대,23,1582,1513,3095
2025-09-01,월,False,2호선,강남,0,609,601,1210
2025-09-01,월,False,2호선,강남,1,628,555,1183
2025-09-01,월,False,2호선,강남,2,513,548,1061
2025-09-01,월,False,2호선,강남,3,528,602,1130
2025-09-01,월,False,2호선,강남,4,657,487,1144
2025-09-01,월,False,2호선,강남,5,604,498,1102
2025-09-01,월,False,2호선,강남,6,505,540,1045
2025-09-01,월,False,2호선,강남,7,18651,16587,35238
2025-09-01,월,False,2호선,강남,8,28800,24567,53367
2025-09-01,월,False,2호선,강남,9,19552,21448,41000
2025-09-01,월,False,2호선,강남,10,8397,8726,17123
2025-09-01,월,False,2호선,강남,11,6667,8372,15039
2025-09-01,월,False,2호선,강남,12,8075,7312,15387
2025-09-01,월,False,2호선,강남,13,8779,7645,16424
2025-09-01,월,False,2호선,강남,14,8059,7809,15868
2025-09-01,월,False,2호선,강남,15,8186,8710,16896
2025-09-01,월,False,2호선,강남,16,7811,8920,16731
2025-09-01,월,False,2호선,강남,17,21889,23627,45516
2025-09-01,월,False,2호선,강남,18,28309,25680,53989
2025-09-01,월,False,2호선,강남,19,22637,22582,45219
2025-09-01,월,False,2호선,강남,20,16253,14864,31117
2025-09-01,월,False,2호선,강남,21,9582,9773,19355
2025-09-01,월,False,2호선,강남,22,5623,5714,11337
2025-09-01,월,False,2호선,강남,23,2682,3590,6272
2025-09-01,월,False,2호선,역삼,0,297,363,660
2025-09-01,월,False,2호선,역삼,1,333,401,734
2025-09-01,월,False,2호선,역삼,2,396,305,701
2025-09-01,월,False,2호선,역삼,3,376,326,702
2025-09-01,월,False,2호선,역삼,4,331,346,677
2025-09-01,월,False,2호선,역삼,5,326,350,676
2025-09-01,월,False,2호선,역삼,6,311,442,753
2025-09-01,월,False,2호선,역삼,7,11305,10781,22086
2025-09-01,월,False,2호선,역삼,8,13020,17424,30444
2025-09-01,월,False,2호선,역삼,9,12283,13658,25941
2025-09-01,월,False,2호선,역삼,10,5103,5082,10185
2025-09-01,월,False,2호선,역삼,11,5373,5637,11010
2025-09-01,월,False,2호선,역삼,12,4798,4630,9428
2025-09-01,월,False,2호선,역삼,13,5780,4397,10177
2025-09-01,월,False,2호선,역삼,14,5462,5086,10548
2025-09-01,월,False,2호선,역삼,15,4813,6113,10926
2025-09-01,월,False,2호선,역삼,16,4382,5277,9659
2025-09-01,월,False,2호선,역삼,17,12084,15944,28028
2025-09-01,월,False,2호선,역삼,18,18207,19035,37242
2025-09-01,월,False,2호선,역삼,19,11754,14413,26167
2025-09-01,월,False,2호선,역삼,20,10298,8707,19005
2025-09-01,월,False,2호선,역삼,21,8300,4555,12855
2025-09-01,월,False,2호선,역삼,22,3312,4041,7353
2025-09-01,월,False,2호선,역삼,23,1927,1827,3754
2025-09-01,월,False,2호선,선릉,0,320,348,668
2025-09-01,월,False,2호선,선릉,1,333,343,676
